Game Name,Platform,Completion Status
Horizon Zero Dawn,PS4,complete
Resident Evil 4,PS5,incomplete
Helldivers 2,Steam,multiplayer
Scars Above,PS5,incomplete
Resident Evil 2,PS4,complete
Resident Evil 3,PS4,complete
Nightingale,Steam,incomplete
Forspoken,PS5,incomplete
Elden Ring,PS5,complete
Evil Within 2,PS4,complete
Wo Long: Fallen Dynasty,PS5,incomplete
In Sound Mind,PS5,incomplete
Fobia,PS5,incomplete
Steelrising,PS5,incomplete
Automobilista 2,Steam,multiplayer
Call of Duty Modern Warfare 3,PS5,multiplayer
Pokemon Sapphire,Nintendo Switch,incomplete
Mario Kart 8,Nintendo Switch,incomplete
Helldivers 2,PS5,multiplayer
